Direccion;Barrio;Latitud;Longitud;Tipo_vivienda;Dproymes;Localidad;Cod_proyecto;Proyecto;
Cl. 17 # 135-20;Florencia;4.6933;-74.1676;VIS;23;Fontibón;56141;Mirador de Fontibón;
Cl. 17 # 110-68;Fontibon;4.67945;-74.15154;No VIS;88;Fontibón;56142;Altana;
Cr. 96B # 18-31;Villamar;4.66867;-74.13917;No VIS;31;Fontibón;56143;Tintoretto;
Av. Cl. 17 # 72-85;El Vergel;4.65098;-74.12934;No VIS;269;Fontibón;56144;Zentral - Zajari;
Cr. 26 # 49-49;Palermo;4.63862;-74.07599;No VIS;7;Teusaquillo;56145;Mitre 49;
Cr. 60D # 90-04;Mendiguaca;4.68209;-74.06931;No VIS;14;Barrios Unidos;56146;Udara Entre Parques;
Cr. 36A # 61-26;Nicolas de Federman;4.65125;-74.08072;No VIS;6;Teusaquillo;56147;36 Avenida;
Cl. 22K # 97-36;Fontibon;4.67709;-74.13757;No VIS;1;Fontibón;56148;Fontino;
Cl. 158 # 96A-36;Salitre;4.75625;-74.08211;No VIS;2;Suba;56156;Salitre Reservado;
Cr. 72 # 21-11;La Felicidad;4.65667;-74.12439;No VIS;47;Fontibón;56157;La Felicidad - La Reserva;
Cr. 72 # 21-11;La Felicidad;4.65667;-74.12439;No VIS;82;Fontibón;56158;La Felicidad - Los Pinos;
Cr. 72 # 21-11;La Felicidad;4.65667;-74.12439;No VIS;49;Fontibón;56159;La Felicidad - Los Cerros;
Cr. 72 # 21-11;La Felicidad;4.65667;-74.12439;No VIS;62;Fontibón;56160;La Felicidad - La Cima;
Cl. 56 Sur # 81A-90;Villa Anita;4.61794;-74.17786;VIS;27;Kennedy;56164;Bari Conj. Res.;
Cl. 70ABis # 121A-04;San Lorenzo;4.71731;-74.13628;VIS;37;Engativá;56165;Mirador del Jaboque;
Cr. 18 # 15-20;Centro;4.6079;-74.08214;No VIS;136;Los Mártires;56167;Torre Estacion;
Cr. 18 # 14-04;Centro;4.60778;-74.08233;No VIS;30;Los Mártires;56168;Sabana Central;
Av. Cl. 26 # 82-54;Los Monjes;4.67506;-74.11636;No VIS;46;Engativá;56169;Cantabria;
Cr. 5 # 32-89;San Martin;4.61868;-74.06583;No VIS;22;Santa Fe;56170;Tekto Museo;
